Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
245,KG5IAN,440.025000,+,5.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,DN,5.00,,50W,"KG5IAN near McKinney, Collin County, Texas OPEN NCCARC https://kg5ian.wixsite.com/nccarc",,,,
246,N5MRG,147.080000,+,0.600000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,DN,5.00,,50W,"N5MRG near Farmersville, Collin County, Texas OPEN",,,,
247,K5JG,443.425000,+,5.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5JG near Longview, Gregg County, Texas OPEN",,,,
248,WT-Mlsa,443.200000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5MRC near Melissa, Collin County, Texas OPEN",,,,
249,W5DLA,441.325000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5DLA near Anna, Collin County, Texas OPEN",,,,
250,K5SST,146.680000,-,0.600000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5SST near Sulphur Springs, Hopkins County, Texas OPEN AMS Mode for Analog or Digital (C4FM)",,,,
251,WB4GHY,444.125000,+,5.000000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,DN,5.00,,50W,"WB4GHY near Van Alstyne, Grayson County, Texas OPEN",,,,
252,WB5HVC,442.825000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"WB5HVC near Tioga, Grayson County, Texas OPEN Our Yaesu repeater is linked to WIRES-X. The default room that our Fusion node is connected to is the Texas–Nexus. If the repeater is not in use, feel free to link it to other nodes/rooms, It will return to its default room after a period of inactivity.",,,,
253,KI5VHC,147.240000,+,0.600000,Tone,110.9,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"KI5VHC near Olney, Young County, Texas OPEN",,,,
254,K5FRC,442.525000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5FRC near Bailey, Fannin County, Texas OPEN",,,,
255,WX5ARC,147.320000,+,0.600000,TSQL,88.5,192.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"WX5ARC near Montague, Montague County, Texas OPEN",,,,
256,K5FRC,443.750000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5FRC near Bonham, Fannin County, Texas OPEN",,,,
257,K5FRC,145.470000,-,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5FRC near Ivanhoe, Fannin County, Texas OPEN Tower is located in North Fannin County.",,,,
258,KC5NJP,147.100000,+,0.600000,TSQL,88.5,192.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"KC5NJP near Seymour, Baylor County, Texas OPEN",,,,
259,CusettMt,145.190000,-,0.600000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,DN,5.00,,50W,"WX5FL near Marietta, Cass County, Texas OPEN Stand alone Repeater for Bi-County ARES/RACES Operations",,,,
260,KI5DX,444.475000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"KI5DX near Paris, Lamar County, Texas OPEN",,,,
261,RC-WF,147.140000,+,0.600000,Tone,192.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"N5WF near Wichita Falls, Wichita County, Texas OPEN No carrier tone on repeater",,,,
262,SprgdTwr,444.550000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"WX5FL near Queen City, Cass County, Texas OPEN",,,,
263,FrmrBnkT,147.120000,+,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"KD5RCA near Texarkana, Bowie County, Texas OPEN",,,,
